geoid,year,measure,value,moe
51027,2017.0,employment_access_index,1451.5,
51027,2018.0,employment_access_index,1531.25,
51027,2019.0,employment_access_index,1611.0,
51027,2020.0,employment_access_index,1597.0,
51027,2021.0,employment_access_index,1597.0,
51029,2015.0,employment_access_index,1693.0,
51029,2016.0,employment_access_index,1773.75,
51029,2017.0,employment_access_index,1854.5,
51029,2018.0,employment_access_index,1935.25,
51029,2019.0,employment_access_index,2016.0,
51029,2020.0,employment_access_index,2018.0,
51029,2021.0,employment_access_index,2018.0,
51031,2015.0,employment_access_index,3889.0,
51031,2016.0,employment_access_index,3986.5,
51031,2017.0,employment_access_index,4084.0,
51031,2018.0,employment_access_index,4181.5,
51031,2019.0,employment_access_index,4279.0,
51031,2020.0,employment_access_index,4437.0,
51031,2021.0,employment_access_index,4437.0,
51033,2015.0,employment_access_index,3109.0,
51033,2016.0,employment_access_index,3201.0,
51033,2017.0,employment_access_index,3293.0,
51033,2018.0,employment_access_index,3385.0,
51033,2019.0,employment_access_index,3477.0,
51033,2020.0,employment_access_index,3446.0,
51033,2021.0,employment_access_index,3446.0,
51035,2015.0,employment_access_index,1668.0,
51035,2016.0,employment_access_index,1778.5,
51035,2017.0,employment_access_index,1889.0,
51035,2018.0,employment_access_index,1999.5,
51035,2019.0,employment_access_index,2110.0,
51035,2020.0,employment_access_index,2071.0,
51035,2021.0,employment_access_index,2071.0,
51036,2015.0,employment_access_index,2770.0,
51036,2016.0,employment_access_index,2935.25,
51036,2017.0,employment_access_index,3100.5,
51036,2018.0,employment_access_index,3265.75,
51036,2019.0,employment_access_index,3431.0,
51036,2020.0,employment_access_index,3430.0,
51036,2021.0,employment_access_index,3430.0,
51037,2015.0,employment_access_index,1431.0,
51037,2016.0,employment_access_index,1511.0,
51037,2017.0,employment_access_index,1591.0,
51037,2018.0,employment_access_index,1671.0,
51037,2019.0,employment_access_index,1751.0,
51037,2020.0,employment_access_index,1756.0,
51037,2021.0,employment_access_index,1756.0,
51041,2015.0,employment_access_index,12308.0,
51041,2016.0,employment_access_index,12563.5,
51041,2017.0,employment_access_index,12819.0,
51041,2018.0,employment_access_index,13074.5,
51041,2019.0,employment_access_index,13330.0,
51041,2020.0,employment_access_index,13329.0,
51041,2021.0,employment_access_index,13329.0,
51043,2015.0,employment_access_index,4494.0,
51043,2016.0,employment_access_index,4590.75,
51043,2017.0,employment_access_index,4687.5,
51043,2018.0,employment_access_index,4784.25,
51043,2019.0,employment_access_index,4881.0,
51043,2020.0,employment_access_index,4908.0,
51043,2021.0,employment_access_index,4908.0,
51045,2015.0,employment_access_index,1596.0,
51045,2016.0,employment_access_index,1682.0,
51045,2017.0,employment_access_index,1768.0,
51045,2018.0,employment_access_index,1854.0,
51045,2019.0,employment_access_index,1940.0,
51045,2020.0,employment_access_index,1994.0,
51045,2021.0,employment_access_index,1994.0,
51047,2015.0,employment_access_index,4713.0,
51047,2016.0,employment_access_index,4736.25,
51047,2017.0,employment_access_index,4759.5,
51047,2018.0,employment_access_index,4782.75,
51047,2019.0,employment_access_index,4806.0,
51047,2020.0,employment_access_index,5055.0,
51047,2021.0,employment_access_index,5055.0,
51049,2015.0,employment_access_index,1913.0,
51049,2016.0,employment_access_index,1969.75,
51049,2017.0,employment_access_index,2026.5,
51049,2018.0,employment_access_index,2083.25,
51049,2019.0,employment_access_index,2140.0,
51049,2020.0,employment_access_index,2113.0,
51049,2021.0,employment_access_index,2113.0,
51051,2015.0,employment_access_index,1261.0,
51051,2016.0,employment_access_index,1355.75,
51051,2017.0,employment_access_index,1450.5,
51051,2018.0,employment_access_index,1545.25,
51051,2019.0,employment_access_index,1640.0,
51051,2020.0,employment_access_index,1647.0,
51051,2021.0,employment_access_index,1647.0,
51053,2015.0,employment_access_index,2984.0,
51053,2016.0,employment_access_index,3146.0,
51053,2017.0,employment_access_index,3308.0,
51053,2018.0,employment_access_index,3470.0,
51053,2019.0,employment_access_index,3632.0,
51053,2020.0,employment_access_index,3619.0,
51053,2021.0,employment_access_index,3619.0,
51057,2015.0,employment_access_index,2799.0,
51057,2016.0,employment_access_index,2835.25,
51057,2017.0,employment_access_index,2871.5,
51057,2018.0,employment_access_index,2907.75,
51057,2019.0,employment_access_index,2944.0,
51057,2020.0,employment_access_index,2930.0,
51057,2021.0,employment_access_index,2930.0,
51059,2015.0,employment_access_index,48598.0,
51059,2016.0,employment_access_index,49693.0,
51059,2017.0,employment_access_index,50788.0,
51059,2018.0,employment_access_index,51883.0,
51059,2019.0,employment_access_index,52978.0,
51059,2020.0,employment_access_index,53013.0,
51059,2021.0,employment_access_index,53013.0,
51061,2015.0,employment_access_index,5923.0,
51061,2016.0,employment_access_index,6021.75,
51061,2017.0,employment_access_index,6120.5,
51061,2018.0,employment_access_index,6219.25,
51061,2019.0,employment_access_index,6318.0,
51061,2020.0,employment_access_index,6248.0,
51061,2021.0,employment_access_index,6248.0,
51063,2015.0,employment_access_index,1694.0,
51063,2016.0,employment_access_index,1845.0,
51063,2017.0,employment_access_index,1996.0,
51063,2018.0,employment_access_index,2147.0,
51063,2019.0,employment_access_index,2298.0,
51063,2020.0,employment_access_index,2069.0,
51063,2021.0,employment_access_index,2069.0,
51065,2015.0,employment_access_index,2620.0,
51065,2016.0,employment_access_index,2728.0,
51065,2017.0,employment_access_index,2836.0,
51065,2018.0,employment_access_index,2944.0,
51065,2019.0,employment_access_index,3052.0,
51065,2020.0,employment_access_index,2933.0,
51065,2021.0,employment_access_index,2933.0,
51067,2015.0,employment_access_index,2727.0,
51067,2016.0,employment_access_index,2767.0,
51067,2017.0,employment_access_index,2807.0,
51067,2018.0,employment_access_index,2847.0,
51067,2019.0,employment_access_index,2887.0,
51067,2020.0,employment_access_index,2827.0,
51067,2021.0,employment_access_index,2827.0,
51069,2015.0,employment_access_index,6626.0,
51069,2016.0,employment_access_index,6752.0,
51069,2017.0,employment_access_index,6878.0,
51069,2018.0,employment_access_index,7004.0,
51069,2019.0,employment_access_index,7130.0,
51069,2020.0,employment_access_index,7107.0,
51069,2021.0,employment_access_index,7107.0,
51071,2015.0,employment_access_index,1837.0,
51071,2016.0,employment_access_index,1906.0,
51071,2017.0,employment_access_index,1975.0,
51071,2018.0,employment_access_index,2044.0,
51071,2019.0,employment_access_index,2113.0,
51071,2020.0,employment_access_index,2102.0,
51071,2021.0,employment_access_index,2102.0,
51073,2015.0,employment_access_index,3045.0,
51073,2016.0,employment_access_index,3122.5,
51073,2017.0,employment_access_index,3200.0,
51073,2018.0,employment_access_index,3277.5,
51073,2019.0,employment_access_index,3355.0,
51073,2020.0,employment_access_index,3319.0,
51073,2021.0,employment_access_index,3319.0,
51075,2015.0,employment_access_index,4276.0,
51075,2016.0,employment_access_index,4966.75,
51075,2017.0,employment_access_index,5657.5,
51075,2018.0,employment_access_index,6348.25,
51075,2019.0,employment_access_index,7039.0,
51075,2020.0,employment_access_index,7062.0,
51075,2021.0,employment_access_index,7062.0,
51077,2015.0,employment_access_index,1377.0,
51077,2016.0,employment_access_index,1504.5,
51077,2017.0,employment_access_index,1632.0,
51077,2018.0,employment_access_index,1759.5,
51077,2019.0,employment_access_index,1887.0,
51077,2020.0,employment_access_index,1870.0,
51077,2021.0,employment_access_index,1870.0,
51079,2015.0,employment_access_index,2724.0,
51079,2016.0,employment_access_index,2831.75,
51079,2017.0,employment_access_index,2939.5,
51079,2018.0,employment_access_index,3047.25,
51079,2019.0,employment_access_index,3155.0,
51079,2020.0,employment_access_index,3117.0,
51079,2021.0,employment_access_index,3117.0,
51081,2015.0,employment_access_index,1685.0,
51081,2016.0,employment_access_index,1831.5,
51081,2017.0,employment_access_index,1978.0,
51081,2018.0,employment_access_index,2124.5,
51081,2019.0,employment_access_index,2271.0,
51081,2020.0,employment_access_index,1981.0,
51081,2021.0,employment_access_index,1981.0,
51083,2015.0,employment_access_index,2483.0,
51083,2016.0,employment_access_index,2498.25,
51083,2017.0,employment_access_index,2513.5,
51083,2018.0,employment_access_index,2528.75,
51083,2019.0,employment_access_index,2544.0,
51083,2020.0,employment_access_index,2547.0,
51083,2021.0,employment_access_index,2547.0,
51085,2015.0,employment_access_index,9958.0,
51085,2016.0,employment_access_index,10252.75,
51085,2017.0,employment_access_index,10547.5,
51085,2018.0,employment_access_index,10842.25,
51085,2019.0,employment_access_index,11137.0,
51085,2020.0,employment_access_index,11047.0,
51085,2021.0,employment_access_index,11047.0,
51087,2015.0,employment_access_index,25045.0,
51087,2016.0,employment_access_index,25711.75,
51087,2017.0,employment_access_index,26378.5,
51087,2018.0,employment_access_index,27045.25,
51087,2019.0,employment_access_index,27712.0,
51087,2020.0,employment_access_index,27484.0,
51087,2021.0,employment_access_index,27484.0,
51089,2015.0,employment_access_index,3329.0,
51089,2016.0,employment_access_index,3341.25,
51089,2017.0,employment_access_index,3353.5,
51089,2018.0,employment_access_index,3365.75,
51089,2019.0,employment_access_index,3378.0,
51089,2020.0,employment_access_index,3382.0,
51089,2021.0,employment_access_index,3382.0,
51091,2015.0,employment_access_index,1338.0,
51091,2016.0,employment_access_index,1384.5,
51091,2017.0,employment_access_index,1431.0,
51091,2018.0,employment_access_index,1477.5,
51091,2019.0,employment_access_index,1524.0,
51091,2020.0,employment_access_index,1530.0,
51091,2021.0,employment_access_index,1530.0,
51093,2015.0,employment_access_index,4363.0,
51093,2016.0,employment_access_index,4405.25,
51093,2017.0,employment_access_index,4447.5,
51093,2018.0,employment_access_index,4489.75,
51093,2019.0,employment_access_index,4532.0,
51093,2020.0,employment_access_index,4507.0,
51093,2021.0,employment_access_index,4507.0,
51095,2015.0,employment_access_index,6428.0,
51095,2016.0,employment_access_index,6635.25,
51095,2017.0,employment_access_index,6842.5,
51095,2018.0,employment_access_index,7049.75,
51095,2019.0,employment_access_index,7257.0,
51095,2020.0,employment_access_index,7423.0,
51095,2021.0,employment_access_index,7423.0,
51097,2015.0,employment_access_index,2229.0,
51097,2016.0,employment_access_index,2326.25,
51097,2017.0,employment_access_index,2423.5,
51097,2018.0,employment_access_index,2520.75,
51097,2019.0,employment_access_index,2618.0,
51097,2020.0,employment_access_index,2617.0,
51097,2021.0,employment_access_index,2617.0,
51099,2015.0,employment_access_index,3867.0,
51099,2016.0,employment_access_index,3993.25,
51099,2017.0,employment_access_index,4119.5,
51099,2018.0,employment_access_index,4245.75,
51099,2019.0,employment_access_index,4372.0,
51099,2020.0,employment_access_index,4241.0,
51099,2021.0,employment_access_index,4241.0,
51101,2015.0,employment_access_index,2908.0,
51101,2016.0,employment_access_index,2991.5,
51101,2017.0,employment_access_index,3075.0,
51101,2018.0,employment_access_index,3158.5,
51101,2019.0,employment_access_index,3242.0,
51101,2020.0,employment_access_index,3167.0,
51101,2021.0,employment_access_index,3167.0,
51103,2015.0,employment_access_index,2385.0,
51103,2016.0,employment_access_index,2466.75,
51103,2017.0,employment_access_index,2548.5,
51103,2018.0,employment_access_index,2630.25,
51103,2019.0,employment_access_index,2712.0,
51103,2020.0,employment_access_index,2702.0,
51103,2021.0,employment_access_index,2702.0,
51105,2015.0,employment_access_index,1140.0,
51105,2016.0,employment_access_index,1274.75,
51105,2017.0,employment_access_index,1409.5,
51105,2018.0,employment_access_index,1544.25,
51105,2019.0,employment_access_index,1679.0,
51105,2020.0,employment_access_index,1676.0,
51105,2021.0,employment_access_index,1676.0,
51107,2015.0,employment_access_index,20049.0,
51107,2016.0,employment_access_index,20997.25,
51107,2017.0,employment_access_index,21945.5,
51107,2018.0,employment_access_index,22893.75,
51107,2019.0,employment_access_index,23842.0,
51107,2020.0,employment_access_index,23617.0,
51107,2021.0,employment_access_index,23617.0,
51109,2015.0,employment_access_index,2482.0,
51109,2016.0,employment_access_index,2668.5,
51109,2017.0,employment_access_index,2855.0,
51109,2018.0,employment_access_index,3041.5,
51109,2019.0,employment_access_index,3228.0,
51109,2020.0,employment_access_index,2998.0,
51109,2021.0,employment_access_index,2998.0,
51111,2015.0,employment_access_index,1639.0,
51111,2016.0,employment_access_index,1700.25,
51111,2017.0,employment_access_index,1761.5,
51111,2018.0,employment_access_index,1822.75,
51111,2019.0,employment_access_index,1884.0,
51111,2020.0,employment_access_index,1787.0,
51111,2021.0,employment_access_index,1787.0,
51113,2015.0,employment_access_index,2613.0,
51113,2016.0,employment_access_index,2690.5,
51113,2017.0,employment_access_index,2768.0,
51113,2018.0,employment_access_index,2845.5,
51113,2019.0,employment_access_index,2923.0,
51113,2020.0,employment_access_index,3053.0,
51113,2021.0,employment_access_index,3053.0,
51115,2015.0,employment_access_index,2033.0,
51115,2016.0,employment_access_index,2109.25,
51115,2017.0,employment_access_index,2185.5,
51115,2018.0,employment_access_index,2261.75,
51115,2019.0,employment_access_index,2338.0,
51115,2020.0,employment_access_index,2336.0,
51115,2021.0,employment_access_index,2336.0,
51117,2015.0,employment_access_index,1944.0,
51117,2016.0,employment_access_index,1997.0,
51117,2017.0,employment_access_index,2050.0,
51117,2018.0,employment_access_index,2103.0,
51117,2019.0,employment_access_index,2156.0,
51117,2020.0,employment_access_index,2130.0,
51117,2021.0,employment_access_index,2130.0,
51119,2015.0,employment_access_index,2214.0,
51119,2016.0,employment_access_index,2258.25,
51119,2017.0,employment_access_index,2302.5,
51119,2018.0,employment_access_index,2346.75,
51119,2019.0,employment_access_index,2391.0,
51119,2020.0,employment_access_index,2367.0,
51119,2021.0,employment_access_index,2367.0,
51121,2015.0,employment_access_index,7615.0,
51121,2016.0,employment_access_index,7632.25,
51121,2017.0,employment_access_index,7649.5,
51121,2018.0,employment_access_index,7666.75,
51121,2019.0,employment_access_index,7684.0,
51121,2020.0,employment_access_index,7766.0,
51121,2021.0,employment_access_index,7766.0,
51125,2015.0,employment_access_index,1833.0,
51125,2016.0,employment_access_index,1923.5,
51125,2017.0,employment_access_index,2014.0,
51125,2018.0,employment_access_index,2104.5,
51125,2019.0,employment_access_index,2195.0,
51125,2020.0,employment_access_index,2171.0,
51125,2021.0,employment_access_index,2171.0,
51127,2015.0,employment_access_index,3057.0,
51127,2016.0,employment_access_index,3165.25,
51127,2017.0,employment_access_index,3273.5,
51127,2018.0,employment_access_index,3381.75,
51127,2019.0,employment_access_index,3490.0,
51127,2020.0,employment_access_index,3443.0,
51127,2021.0,employment_access_index,3443.0,
51131,2015.0,employment_access_index,1908.0,
51131,2016.0,employment_access_index,1960.75,
51131,2017.0,employment_access_index,2013.5,
51131,2018.0,employment_access_index,2066.25,
51131,2019.0,employment_access_index,2119.0,
51131,2020.0,employment_access_index,2044.0,
51131,2021.0,employment_access_index,2044.0,
51133,2015.0,employment_access_index,1973.0,
51133,2016.0,employment_access_index,2036.75,
51133,2017.0,employment_access_index,2100.5,
51133,2018.0,employment_access_index,2164.25,
51133,2019.0,employment_access_index,2228.0,
51133,2020.0,employment_access_index,2210.0,
51133,2021.0,employment_access_index,2210.0,
51135,2015.0,employment_access_index,2089.0,
51135,2016.0,employment_access_index,2141.0,
51135,2017.0,employment_access_index,2193.0,
51135,2018.0,employment_access_index,2245.0,
51135,2019.0,employment_access_index,2297.0,
51135,2020.0,employment_access_index,2298.0,
51135,2021.0,employment_access_index,2298.0,
51137,2015.0,employment_access_index,3256.0,
51137,2016.0,employment_access_index,3349.25,
51137,2017.0,employment_access_index,3442.5,
51137,2018.0,employment_access_index,3535.75,
51137,2019.0,employment_access_index,3629.0,
51137,2020.0,employment_access_index,3597.0,
51137,2021.0,employment_access_index,3597.0,
51139,2015.0,employment_access_index,2665.0,
51139,2016.0,employment_access_index,2674.25,
51139,2017.0,employment_access_index,2683.5,
51139,2018.0,employment_access_index,2692.75,
51139,2019.0,employment_access_index,2702.0,
51139,2020.0,employment_access_index,2756.0,
51139,2021.0,employment_access_index,2756.0,
51141,2015.0,employment_access_index,1840.0,
51141,2016.0,employment_access_index,1909.75,
51141,2017.0,employment_access_index,1979.5,
51141,2018.0,employment_access_index,2049.25,
51141,2019.0,employment_access_index,2119.0,
51141,2020.0,employment_access_index,2123.0,
51141,2021.0,employment_access_index,2123.0,
51143,2015.0,employment_access_index,2385.0,
51143,2016.0,employment_access_index,2440.5,
51143,2017.0,employment_access_index,2496.0,
51143,2018.0,employment_access_index,2551.5,
51143,2019.0,employment_access_index,2607.0,
51143,2020.0,employment_access_index,2583.0,
51143,2021.0,employment_access_index,2583.0,
51145,2015.0,employment_access_index,3219.0,
51145,2016.0,employment_access_index,3425.5,
51145,2017.0,employment_access_index,3632.0,
51145,2018.0,employment_access_index,3838.5,
51145,2019.0,employment_access_index,4045.0,
51145,2020.0,employment_access_index,3970.0,
51145,2021.0,employment_access_index,3970.0,
51147,2015.0,employment_access_index,2514.0,
51147,2016.0,employment_access_index,2578.75,
51147,2017.0,employment_access_index,2643.5,
51147,2018.0,employment_access_index,2708.25,
51147,2019.0,employment_access_index,2773.0,
51147,2020.0,employment_access_index,2791.0,
51147,2021.0,employment_access_index,2791.0,
51149,2015.0,employment_access_index,4368.0,
51149,2016.0,employment_access_index,4525.75,
51149,2017.0,employment_access_index,4683.5,
51149,2018.0,employment_access_index,4841.25,
51149,2019.0,employment_access_index,4999.0,
51149,2020.0,employment_access_index,4941.0,
51149,2021.0,employment_access_index,4941.0,
51153,2015.0,employment_access_index,16226.0,
51153,2016.0,employment_access_index,16696.0,
51153,2017.0,employment_access_index,17166.0,
51153,2018.0,employment_access_index,17636.0,
51153,2019.0,employment_access_index,18106.0,
51153,2020.0,employment_access_index,17846.0,
51153,2021.0,employment_access_index,17846.0,
51155,2015.0,employment_access_index,3498.0,
51155,2016.0,employment_access_index,3575.25,
51155,2017.0,employment_access_index,3652.5,
51155,2018.0,employment_access_index,3729.75,
51155,2019.0,employment_access_index,3807.0,
51155,2020.0,employment_access_index,3821.0,
51155,2021.0,employment_access_index,3821.0,
51157,2015.0,employment_access_index,2750.0,
51157,2016.0,employment_access_index,2829.75,
51157,2017.0,employment_access_index,2909.5,
51157,2018.0,employment_access_index,2989.25,
51157,2019.0,employment_access_index,3069.0,
51157,2020.0,employment_access_index,2964.0,
51157,2021.0,employment_access_index,2964.0,
51159,2015.0,employment_access_index,2305.0,
51159,2016.0,employment_access_index,2443.0,
51159,2017.0,employment_access_index,2581.0,
51159,2018.0,employment_access_index,2719.0,
51159,2019.0,employment_access_index,2857.0,
51159,2020.0,employment_access_index,2892.0,
51159,2021.0,employment_access_index,2892.0,
51161,2015.0,employment_access_index,11454.0,
51161,2016.0,employment_access_index,11461.5,
51161,2017.0,employment_access_index,11469.0,
51161,2018.0,employment_access_index,11476.5,
51161,2019.0,employment_access_index,11484.0,
51161,2020.0,employment_access_index,11440.0,
51161,2021.0,employment_access_index,11440.0,
51163,2015.0,employment_access_index,1925.0,
51163,2016.0,employment_access_index,1985.0,
51163,2017.0,employment_access_index,2045.0,
51163,2018.0,employment_access_index,2105.0,
51163,2019.0,employment_access_index,2165.0,
51163,2020.0,employment_access_index,2135.0,
51163,2021.0,employment_access_index,2135.0,
51165,2015.0,employment_access_index,3922.0,
51165,2016.0,employment_access_index,4042.25,
51165,2017.0,employment_access_index,4162.5,
51165,2018.0,employment_access_index,4282.75,
51165,2019.0,employment_access_index,4403.0,
51165,2020.0,employment_access_index,4401.0,
51165,2021.0,employment_access_index,4401.0,
51167,2015.0,employment_access_index,1501.0,
51167,2016.0,employment_access_index,1610.0,
51167,2017.0,employment_access_index,1719.0,
51167,2018.0,employment_access_index,1828.0,
51167,2019.0,employment_access_index,1937.0,
51167,2020.0,employment_access_index,1959.0,
51167,2021.0,employment_access_index,1959.0,
51169,2015.0,employment_access_index,1187.0,
51169,2016.0,employment_access_index,1448.5,
51169,2017.0,employment_access_index,1710.0,
51169,2018.0,employment_access_index,1971.5,
51169,2019.0,employment_access_index,2233.0,
51169,2020.0,employment_access_index,2233.0,
51169,2021.0,employment_access_index,2233.0,
51171,2015.0,employment_access_index,3060.0,
51171,2016.0,employment_access_index,3123.25,
51171,2017.0,employment_access_index,3186.5,
51171,2018.0,employment_access_index,3249.75,
51171,2019.0,employment_access_index,3313.0,
51171,2020.0,employment_access_index,3220.0,
51171,2021.0,employment_access_index,3220.0,
51173,2015.0,employment_access_index,2334.0,
51173,2016.0,employment_access_index,2339.0,
51173,2017.0,employment_access_index,2344.0,
51173,2018.0,employment_access_index,2349.0,
51173,2019.0,employment_access_index,2354.0,
51173,2020.0,employment_access_index,2333.0,
51173,2021.0,employment_access_index,2333.0,
51175,2015.0,employment_access_index,1730.0,
51175,2016.0,employment_access_index,1845.0,
51175,2017.0,employment_access_index,1960.0,
51175,2018.0,employment_access_index,2075.0,
51175,2019.0,employment_access_index,2190.0,
51175,2020.0,employment_access_index,2049.0,
51175,2021.0,employment_access_index,2049.0,
51177,2015.0,employment_access_index,7976.0,
51177,2016.0,employment_access_index,8175.75,
51177,2017.0,employment_access_index,8375.5,
51177,2018.0,employment_access_index,8575.25,
51177,2019.0,employment_access_index,8775.0,
51177,2020.0,employment_access_index,8728.0,
51177,2021.0,employment_access_index,8728.0,
51179,2015.0,employment_access_index,8750.0,
51179,2016.0,employment_access_index,8863.0,
51179,2017.0,employment_access_index,8976.0,
51179,2018.0,employment_access_index,9089.0,
51179,2019.0,employment_access_index,9202.0,
51179,2020.0,employment_access_index,9043.0,
51179,2021.0,employment_access_index,9043.0,
51181,2015.0,employment_access_index,2254.0,
51181,2016.0,employment_access_index,2382.0,
51181,2017.0,employment_access_index,2510.0,
51181,2018.0,employment_access_index,2638.0,
51181,2019.0,employment_access_index,2766.0,
51181,2020.0,employment_access_index,2777.0,
51181,2021.0,employment_access_index,2777.0,
51183,2015.0,employment_access_index,1906.0,
51183,2016.0,employment_access_index,1993.5,
51183,2017.0,employment_access_index,2081.0,
51183,2018.0,employment_access_index,2168.5,
51183,2019.0,employment_access_index,2256.0,
51183,2020.0,employment_access_index,2251.0,
51183,2021.0,employment_access_index,2251.0,
51185,2015.0,employment_access_index,1857.0,
51185,2016.0,employment_access_index,1957.5,
51185,2017.0,employment_access_index,2058.0,
51185,2018.0,employment_access_index,2158.5,
51185,2019.0,employment_access_index,2259.0,
51185,2020.0,employment_access_index,2203.0,
51185,2021.0,employment_access_index,2203.0,
51187,2015.0,employment_access_index,4934.0,
51187,2016.0,employment_access_index,4957.75,
51187,2017.0,employment_access_index,4981.5,
51187,2018.0,employment_access_index,5005.25,
51187,2019.0,employment_access_index,5029.0,
51187,2020.0,employment_access_index,5066.0,
51187,2021.0,employment_access_index,5066.0,
51191,2015.0,employment_access_index,3021.0,
51191,2016.0,employment_access_index,3092.75,
51191,2017.0,employment_access_index,3164.5,
51191,2018.0,employment_access_index,3236.25,
51191,2019.0,employment_access_index,3308.0,
51191,2020.0,employment_access_index,3303.0,
51191,2021.0,employment_access_index,3303.0,
51193,2015.0,employment_access_index,3004.0,
51193,2016.0,employment_access_index,3041.0,
51193,2017.0,employment_access_index,3078.0,
51193,2018.0,employment_access_index,3115.0,
51193,2019.0,employment_access_index,3152.0,
51193,2020.0,employment_access_index,3165.0,
51193,2021.0,employment_access_index,3165.0,
51195,2015.0,employment_access_index,1944.0,
51195,2016.0,employment_access_index,2082.0,
51195,2017.0,employment_access_index,2220.0,
51195,2018.0,employment_access_index,2358.0,
51195,2019.0,employment_access_index,2496.0,
51195,2020.0,employment_access_index,2492.0,
51195,2021.0,employment_access_index,2492.0,
51197,2015.0,employment_access_index,2576.0,
51197,2016.0,employment_access_index,2617.25,
51197,2017.0,employment_access_index,2658.5,
51197,2018.0,employment_access_index,2699.75,
51197,2019.0,employment_access_index,2741.0,
51197,2020.0,employment_access_index,2759.0,
51197,2021.0,employment_access_index,2759.0,
51199,2015.0,employment_access_index,10021.0,
51199,2016.0,employment_access_index,10214.5,
51199,2017.0,employment_access_index,10408.0,
51199,2018.0,employment_access_index,10601.5,
51199,2019.0,employment_access_index,10795.0,
51199,2020.0,employment_access_index,10458.0,
51199,2021.0,employment_access_index,10458.0,
