"","metadata","county","tract"
"NAICS81_business_destruction_job",1,158,11817
"NAICS81_entry_rate",1,175,14927
"NAICS81_exit_business",1,175,14927
"NAICS81_exit_rate",1,175,14927
"NAICS81_Herfindalh_Hirschman_index",1,175,0
"NAICS81_job_creation_active",1,174,12706
"NAICS81_job_creation_new",1,174,12706
"NAICS81_job_destruction_active",1,158,11817
"NAICS81_job_destruction_exit",1,158,11817
"NAICS81_Location_quotient",1,175,14927
"NAICS81_new_business",1,175,14927
"NAICS81_number_business",1,175,14927
"NAICS81_perc_job_creation_active",1,160,11473
"NAICS81_perc_job_creation_new",1,160,11473
"NAICS81_perc_job_destruction_active",1,158,11782
"NAICS81_perc_job_destruction_exit",1,158,11782
"NAICS81_total_employment",1,175,14927
"NAICS81_total_job_creation",1,174,12706
"NAICS81_total_job_destruction",1,158,11817
"NAICS92_business_create_job",1,140,1498
"NAICS92_business_destruction_job",1,113,925
"NAICS92_entry_rate",1,168,4351
"NAICS92_exit_business",1,168,4351
"NAICS92_exit_rate",1,168,4351
"NAICS92_Herfindalh_Hirschman_index",1,168,0
"NAICS92_job_creation_active",1,140,1498
"NAICS92_job_creation_new",1,140,1498
"NAICS92_job_destruction_active",1,113,925
"NAICS92_job_destruction_exit",1,113,925
"NAICS92_Location_quotient",1,168,4351
"NAICS92_new_business",1,168,4351
"NAICS92_number_business",1,168,4351
"NAICS92_perc_job_creation_active",1,132,1251
"NAICS92_perc_job_creation_new",1,132,1251
"NAICS92_perc_job_destruction_active",1,107,738
"NAICS92_perc_job_destruction_exit",1,107,738
"NAICS92_total_employment",1,168,4351
"NAICS92_total_job_creation",1,140,1498
"NAICS92_total_job_destruction",1,113,925
"NAICS99_business_create_job",1,165,11918
"NAICS99_business_destruction_job",1,157,12253
"NAICS99_entry_rate",1,175,14511
"NAICS99_exit_business",1,175,14511
"NAICS99_exit_rate",1,175,14511
"NAICS99_Herfindalh_Hirschman_index",1,175,0
"NAICS99_job_creation_active",1,165,11918
"NAICS99_job_creation_new",1,165,11918
"NAICS99_job_destruction_active",1,157,12253
"NAICS99_job_destruction_exit",1,157,12253
"NAICS99_Location_quotient",1,169,14499
"NAICS99_new_business",1,175,14511
"NAICS99_number_business",1,175,14511
"NAICS99_perc_job_creation_active",1,150,8499
"NAICS99_perc_job_creation_new",1,150,8499
"NAICS99_perc_job_destruction_active",1,140,6661
"NAICS99_perc_job_destruction_exit",1,140,6661
"NAICS99_total_employment",1,175,14511
"NAICS99_total_job_creation",1,165,11918
"NAICS99_total_job_destruction",1,157,12253
"new_business",1,176,14993
"non_minority_owned_business_create_job",1,175,14926
"non_minority_owned_business_destruction_job",1,159,13455
"non_minority_owned_entry_rate",1,176,14992
"non_minority_owned_exit_business",1,176,14992
"non_minority_owned_exit_rate",1,176,14992
"non_minority_owned_job_creation_active",1,175,14926
"non_minority_owned_job_creation_new",1,175,14926
"non_minority_owned_job_destruction_active",1,159,13455
"non_minority_owned_job_destruction_exit",1,159,13455
"non_minority_owned_new_business",1,176,14992
"non_minority_owned_number_business",1,176,14992
"non_minority_owned_perc_job_creation_active",1,160,13659
"non_minority_owned_perc_job_creation_new",1,160,13659
"non_minority_owned_perc_job_destruction_active",1,159,13450
"non_minority_owned_perc_job_destruction_exit",1,159,13450
"non_minority_owned_total_employment",1,176,14992
"non_minority_owned_total_job_creation",1,175,14926
"non_minority_owned_total_job_destruction",1,159,13455
"Nonminority_employment",1,170,14918
"number_business",1,176,14993
"operation_farmValue",1,98,0
"perc_job_creation_active",1,160,13661
"perc_job_creation_new",1,160,13661
"perc_job_destruction_active",1,159,13450
"perc_job_destruction_exit",1,159,13450
"time",0,1188,17985
"total_acres",1,87,0
"total_animal_expense",1,93,0
"total_animalProducts_sales",1,94,0
"total_calves_sales",1,89,0
"total_commodity_sales",1,98,0
"total_cropland_acres",1,97,0
"total_cropland_operations",1,97,0
"total_employment",1,176,14993
"total_farmValue",1,98,0
"total_irrigatedCropland_acre",1,84,0
"total_job_creation",1,175,14928
"total_job_destruction",1,159,13455
"total_operations",1,94,0
